년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,서경대학교,사립,서울,1269 ,1383 ,251 ,6510 ,18.8 ,100.0 ,71.2 ,765 ,22.74 ,76.52 ,66.3 ,3309068.3 ,7925.4 ,11716.0 ,10.9 ,93.1 
2022,서남대학교,사립,전북,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,서남대학교-제2캠퍼스,사립,충남,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,서울과학기술대학교,국립,서울,2157 ,2481 ,410 ,10064 ,11.5 ,99.9 ,67.2 ,720 ,26.36 ,67.66 ,60.3 ,3192123.8 ,5458.0 ,16851.4 ,22.5 ,68.1 
2022,서울기독대학교,사립,서울,136 ,79 ,29 ,403 ,2.1 ,46.8 ,61.3 ,3 ,32.97 ,100.00 ,54.2 ,3435834.3 ,7319.3 ,9841.6 ,18.4 ,87.0 
2022,서울대학교,국립,서울,3233 ,3330 ,2278 ,15870 ,5.6 ,99.8 ,71.1 ,1410 ,13.50 ,120.78 ,51.8 ,3078815.9 ,6011.8 ,52866.4 ,25.1 ,185.0 
2022,서울시립대학교,국립,서울,1737 ,2064 ,447 ,8674 ,14.5 ,99.9 ,69.2 ,637 ,24.01 ,78.56 ,53.5 ,1801826.4 ,2394.4 ,16430.1 ,11.4 ,97.6 
2022,서울신학대학교,사립,경기,457 ,517 ,108 ,2082 ,5.8 ,100.0 ,65.7 ,26 ,30.28 ,80.00 ,64.7 ,4763797.6 ,6892.5 ,10345.8 ,14.6 ,117.7 
2022,서울여자대학교,사립,서울,1645 ,1685 ,232 ,7008 ,12.8 ,100.2 ,65.4 ,594 ,31.51 ,70.30 ,61.8 ,3481106.5 ,7534.6 ,12419.5 ,12.3 ,99.1 
2022,서울장신대학교,사립,경기,104 ,112 ,35 ,323 ,1.9 ,64.4 ,54.8 ,1 ,27.17 ,106.06 ,61.8 ,4951651.9 ,7541.0 ,10993.0 ,54.5 ,178.4 
2022,서울한영대학교,사립,서울,180 ,145 ,33 ,655 ,4.9 ,90.6 ,70.4 ,0 ,32.72 ,82.05 ,62.1 ,3855922.6 ,6979.7 ,8973.2 ,14.6 ,148.8 
2022,서원대학교,사립,충북,1622 ,1399 ,234 ,6644 ,6.6 ,99.9 ,57.5 ,6 ,29.15 ,75.48 ,77.8 ,3775729.5 ,6948.3 ,12335.6 ,14.5 ,107.9 
2022,선문대학교,사립,충남,2053 ,1861 ,315 ,9174 ,5.0 ,99.8 ,70.1 ,1561 ,29.31 ,71.11 ,64.1 ,4063188.7 ,7602.7 ,14267.3 ,39.4 ,79.0 
2022,성결대학교,사립,경기,1228 ,1249 ,200 ,5290 ,8.1 ,100.0 ,65.3 ,178 ,29.18 ,78.74 ,63.4 ,3324951.4 ,7208.8 ,12083.9 ,11.3 ,102.1 
2022,성공회대학교,사립,서울,502 ,460 ,88 ,1931 ,4.9 ,99.8 ,58.6 ,133 ,30.76 ,85.44 ,63.6 ,4094674.1 ,7047.6 ,12870.3 ,22.1 ,112.8 
2022,성균관대학교,사립,서울,3335 ,4664 ,1525 ,18298 ,16.7 ,99.9 ,78.5 ,4751 ,16.69 ,107.55 ,58.2 ,3165933.7 ,8397.7 ,27011.3 ,21.5 ,80.4 
2022,성신여자대학교,사립,서울,2232 ,2346 ,326 ,8873 ,11.0 ,99.8 ,61.0 ,389 ,30.37 ,70.26 ,53.3 ,3551186.1 ,7853.8 ,11586.0 ,11.1 ,100.5 
2022,세명대학교,사립,충북,1820 ,1698 ,287 ,6835 ,4.5 ,80.2 ,64.6 ,204 ,27.91 ,81.53 ,75.3 ,3871584.6 ,6900.0 ,12725.9 ,47.3 ,86.8 
2022,세종대학교,사립,서울,2400 ,2853 ,550 ,11688 ,14.7 ,99.7 ,67.8 ,1364 ,23.80 ,76.28 ,65.6 ,3193436.5 ,7891.3 ,16096.9 ,11.6 ,66.3 
2022,세한대학교,사립,전남,817 ,876 ,125 ,3465 ,3.7 ,99.4 ,63.6 ,104 ,29.01 ,64.43 ,64.0 ,3209784.5 ,6815.4 ,8457.7 ,34.7 ,90.7 
2022,송원대학교,사립,광주,700 ,666 ,102 ,3040 ,4.7 ,99.9 ,66.5 ,349 ,30.19 ,67.11 ,71.2 ,3937362.7 ,6538.2 ,11457.4 ,14.1 ,83.4 
2022,수원가톨릭대학교,사립,경기,90 ,29 ,9 ,122 ,0.4 ,26.7 ,0.0 ,7 ,52.44 ,100.00 ,38.8 ,8304791.7 ,5097.0 ,37939.7 ,154.7 ,791.1 
2022,수원대학교,사립,경기,2130 ,1925 ,316 ,8587 ,12.6 ,100.0 ,63.5 ,176 ,33.38 ,69.60 ,54.9 ,3390514.3 ,7563.1 ,11109.3 ,11.9 ,97.8 
2022,숙명여자대학교,사립,서울,2150 ,2588 ,432 ,9830 ,12.7 ,100.0 ,66.9 ,371 ,29.68 ,75.35 ,57.0 ,3464251.4 ,8075.6 ,14812.9 ,12.3 ,102.3 
